npi,nppes_provider_last_org_name,nppes_provider_first_name,nppes_provider_mi,nppes_credentials,nppes_provider_gender,nppes_entity_code,nppes_provider_street1,nppes_provider_street2,nppes_provider_city,nppes_provider_zip,nppes_provider_state,nppes_provider_country,provider_type,medicare_participation_indicator,place_of_service,hcpcs_code,hcpcs_description,hcpcs_drug_indicator,line_srvc_cnt,bene_unique_cnt,bene_day_srvc_cnt,average_medicare_allowed_amt,average_submitted_chrg_amt,average_medicare_payment_amt,average_medicare_standard_amt
1003019498,RASER-SCHRAMM,JONATHAN,M,MD,M,I,774 CHRISTIANA RD,SUITE 201,NEWARK,197134236,DE,US,Neurology,Y,O,99205,"New patient office or other outpatient visit, typically 60 minutes",N,15,15,15,170.97,363.8,131.5993333,131.4593333
1003019498,RASER-SCHRAMM,JONATHAN,M,MD,M,I,774 CHRISTIANA RD,SUITE 201,NEWARK,197134236,DE,US,Neurology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,11,11,11,51.58,98.44,32.14272727,32.12545455
1003019498,RASER-SCHRAMM,JONATHAN,M,MD,M,I,774 CHRISTIANA RD,SUITE 201,NEWARK,197134236,DE,US,Neurology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,128,112,128,79.13,157.1813281,55.1875,56.23921875
1003019498,RASER-SCHRAMM,JONATHAN,M,MD,M,I,774 CHRISTIANA RD,SUITE 201,NEWARK,197134236,DE,US,Neurology,Y,F,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,55,55,55,112.1,403.7401818,76.76545455,77.86872727
1003046624,TAN,THEODORE CONRAD,A,M.D.,M,I,810 NEW BURTON RD,SUITE 3,DOVER,199045488,DE,US,Internal Medicine,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,45,45,45,166.64,220,107.9322222,107.5322222
1003046624,TAN,THEODORE CONRAD,A,M.D.,M,I,810 NEW BURTON RD,SUITE 3,DOVER,199045488,DE,US,Internal Medicine,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,566,302,566,73.64,110,48.03206714,47.87001767
1003046624,TAN,THEODORE CONRAD,A,M.D.,M,I,810 NEW BURTON RD,SUITE 3,DOVER,199045488,DE,US,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,332,189,332,108.44,150,77.15503012,76.93201807
1003046624,TAN,THEODORE CONRAD,A,M.D.,M,I,810 NEW BURTON RD,SUITE 3,DOVER,199045488,DE,US,Internal Medicine,Y,O,G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",N,126,126,126,117.48,200,115.13,114.74
1003109596,DANKO,JOHN,J,DO,M,I,501 W 14TH ST,"CTR FOR REHABILITATION, 6TH FLOOR",WILMINGTON,198011013,DE,US,Physical Medicine and Rehabilitation,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,36,36,36,79.42,160.5,52.07388889,53.66555556
1003109596,DANKO,JOHN,J,DO,M,I,501 W 14TH ST,"CTR FOR REHABILITATION, 6TH FLOOR",WILMINGTON,198011013,DE,US,Physical Medicine and Rehabilitation,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,15,15,15,134.23,279.8406667,100.7313333,104.7366667
1003109596,DANKO,JOHN,J,DO,M,I,501 W 14TH ST,"CTR FOR REHABILITATION, 6TH FLOOR",WILMINGTON,198011013,DE,US,Physical Medicine and Rehabilitation,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,74,57,74,25.96,43.66756757,19.8,19.39135135
1003109596,DANKO,JOHN,J,DO,M,I,501 W 14TH ST,"CTR FOR REHABILITATION, 6TH FLOOR",WILMINGTON,198011013,DE,US,Physical Medicine and Rehabilitation,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,76,64,76,52.63,99.28473684,38.83407895,38.33171053
1003109596,DANKO,JOHN,J,DO,M,I,501 W 14TH ST,"CTR FOR REHABILITATION, 6TH FLOOR",WILMINGTON,198011013,DE,US,Physical Medicine and Rehabilitation,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,35,34,35,80.75,157.6262857,57.624,58.10914286
1003223371,MARR,AMANDA,K,N.P.,F,I,35141 ATLANTIC AVE,,MILLVILLE,199676954,DE,US,Nurse Practitioner,Y,O,99202,"New patient office or other outpatient visit, typically 20 minutes",N,16,16,16,64.17,120.75,31.44375,31.31875
1003223371,MARR,AMANDA,K,N.P.,F,I,35141 ATLANTIC AVE,,MILLVILLE,199676954,DE,US,Nurse Practitioner,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,51,51,51,92.9,168.1176471,67.11784314,66.85058824
1003223371,MARR,AMANDA,K,N.P.,F,I,35141 ATLANTIC AVE,,MILLVILLE,199676954,DE,US,Nurse Practitioner,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,17,17,17,141.64,260,104.5082353,104.1976471
1003223371,MARR,AMANDA,K,N.P.,F,I,35141 ATLANTIC AVE,,MILLVILLE,199676954,DE,US,Nurse Practitioner,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,85,78,85,37.3,70.24705882,22.15105882,22.044
1003223371,MARR,AMANDA,K,N.P.,F,I,35141 ATLANTIC AVE,,MILLVILLE,199676954,DE,US,Nurse Practitioner,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,347,234,347,62.59,116.6311239,41.45386167,41.85227666
